xmin	xmax	ymin	ymax	showSelected1
0.5	15.5	0.000238896580412984	0.988891728920862	1
15.5	30.5	0.000238896580412984	0.988891728920862	2
30.5	45.5	0.000238896580412984	0.988891728920862	3
45.5	60.5	0.000238896580412984	0.988891728920862	4
60.5	75.5	0.000238896580412984	0.988891728920862	5
75.5	90.5	0.000238896580412984	0.988891728920862	6
90.5	105.5	0.000238896580412984	0.988891728920862	7
105.5	120.5	0.000238896580412984	0.988891728920862	8
120.5	135.5	0.000238896580412984	0.988891728920862	9
135.5	150.5	0.000238896580412984	0.988891728920862	10
