key	clickSelects	showSelected1	ymin	ymax	xmin	xmax
1	1	1	0	15	0.55	1.45
2	2	2	0	15	1.55	2.45
3	3	3	0	15	2.55	3.45
4	4	4	0	15	3.55	4.45
5	5	5	0	15	4.55	5.45
6	6	6	0	15	5.55	6.45
7	7	7	0	15	6.55	7.45
8	8	8	0	15	7.55	8.45
9	9	9	0	15	8.55	9.45
10	10	10	0	15	9.55	10.45
