xmin	xmax	ymin	ymax
0.5	15.5	0.000238896580412984	0.988891728920862
15.5	30.5	0.000238896580412984	0.988891728920862
30.5	45.5	0.000238896580412984	0.988891728920862
45.5	60.5	0.000238896580412984	0.988891728920862
60.5	75.5	0.000238896580412984	0.988891728920862
75.5	90.5	0.000238896580412984	0.988891728920862
90.5	105.5	0.000238896580412984	0.988891728920862
105.5	120.5	0.000238896580412984	0.988891728920862
120.5	135.5	0.000238896580412984	0.988891728920862
135.5	150.5	0.000238896580412984	0.988891728920862
